"gender","yb","province","db","mb","educ"
"FEMALE","1969","Podlaskie","28","11","POST-SECONDARY"
"FEMALE","1960","Podlaskie","12","2","POST-SECONDARY"
"FEMALE","1928","Podlaskie","19","1","NO EDUCATION/PRIMARY NOT COMPLETED"
"FEMALE","1943","Podlaskie","27","2","SECONDARY VOCATIONAL"
"MALE","1977","Podlaskie","10","8","POST-SECONDARY"
"FEMALE","1978","Podlaskie","28","1","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"FEMALE","1945","Podlaskie","2","2","SECONDARY GENERAL"
"MALE","1955","Podlaskie","14","3","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"FEMALE","1977","Podlaskie","1","3","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1978","Podlaskie","25","9","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1944","Podlaskie","20","7","SECONDARY VOCATIONAL"
"FEMALE","1969","Podlaskie","29","5","POST-SECONDARY"
"FEMALE","1951","Podlaskie","9","8","SECONDARY VOCATIONAL"
"FEMALE","1955","Pomorskie","24","11","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"FEMALE","1953","Pomorskie","9","11","SECONDARY GENERAL"
"MALE","1954","Pomorskie","8","3","VOCATIONAL"
"MALE","1960","Pomorskie","13","2","VOCATIONAL"
"FEMALE","1990","Pomorskie","28","3","SECONDARY GENERAL"
"MALE","1959","Pomorskie","5","11","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1969","Pomorskie","6","2","VOCATIONAL"
"FEMALE","1974","Pomorskie","30","5","PRIMARY COMPLETED"
"FEMALE","1987","Pomorskie","8","4","SECONDARY VOCATIONAL"
"FEMALE","1941","Pomorskie","14","11","PRIMARY COMPLETED"
"FEMALE","1959","Pomorskie","9","12","SECONDARY VOCATIONAL"
"FEMALE","1924","Pomorskie","10","1","PRIMARY COMPLETED"
"FEMALE","1952","Pomorskie","28","1","PRIMARY COMPLETED"
"FEMALE","1956","Pomorskie","10","8","HIGHER WITH ENGINEERING OR BACHELOR`S DEGREE"
"FEMALE","1976","Pomorskie","13","8","SECONDARY VOCATIONAL"
"FEMALE","1988","Pomorskie","1","7","VOCATIONAL"
"MALE","1940","Pomorskie","26","4","PRIMARY COMPLETED"
"FEMALE","1994","Pomorskie","4","11","GRAMMAR"
"FEMALE","1981","Pomorskie","12","7","SECONDARY VOCATIONAL"
"MALE","1945","Pomorskie","13","2","SECONDARY VOCATIONAL"
"MALE","1957","Pomorskie","27","1","PRIMARY COMPLETED"
"FEMALE","1964","Pomorskie","16","9","SECONDARY GENERAL"
"MALE","1950","Pomorskie","19","11","SECONDARY VOCATIONAL"
"FEMALE","1953","Pomorskie","6","4","SECONDARY VOCATIONAL"
"MALE","1951","Pomorskie","2","7","SECONDARY GENERAL"
"FEMALE","1938","Pomorskie","8","7","PRIMARY COMPLETED"
"FEMALE","1972","Pomorskie","26","1","SECONDARY GENERAL"
"MALE","1978","Pomorskie","28","4","HIGHER WITH ENGINEERING OR BACHELOR`S DEGREE"
"MALE","1985","Pomorskie","17","11","SECONDARY VOCATIONAL"
"FEMALE","1984","Pomorskie","19","1","POST-SECONDARY"
"MALE","1966","Pomorskie","1","9","VOCATIONAL"
"FEMALE","1942","Pomorskie","12","2","SECONDARY GENERAL"
"FEMALE","1937","Pomorskie","17","1","PRIMARY COMPLETED"
"FEMALE","1932","Pomorskie","11","5","PRIMARY COMPLETED"
"MALE","1988","Pomorskie","27","9","SECONDARY VOCATIONAL"
"MALE","1917","Pomorskie","20","5","PRIMARY COMPLETED"
"FEMALE","1958","Pomorskie","3","3","VOCATIONAL"
"FEMALE","1980","Pomorskie","14","2","VOCATIONAL"
"FEMALE","1969","Pomorskie","26","2","VOCATIONAL"
"FEMALE","1990","Pomorskie","11","2","SECONDARY GENERAL"
"FEMALE","1983","Pomorskie","16","4","SECONDARY GENERAL"
"FEMALE","1991","Pomorskie","27","11","PRIMARY COMPLETED"
"MALE","1990","Pomorskie","12","4","SECONDARY GENERAL"
"FEMALE","1957","Pomorskie","29","3","SECONDARY GENERAL"
"FEMALE","1973","Pomorskie","17","5","SECONDARY VOCATIONAL"
"FEMALE","1953","Pomorskie","3","3","SECONDARY VOCATIONAL"
"MALE","1939","Pomorskie","28","11","PRIMARY COMPLETED"
"FEMALE","1964","Pomorskie","20","3","POST-SECONDARY"
"MALE","1947","Pomorskie","16","11","POST-SECONDARY"
"FEMALE","1950","Pomorskie","12","9","SECONDARY VOCATIONAL"
"FEMALE","1940","Pomorskie","9","6","VOCATIONAL"
"MALE","1967","Pomorskie","23","9","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"FEMALE","1969","Pomorskie","4","7","SECONDARY VOCATIONAL"
"FEMALE","1981","Pomorskie","24","1","HIGHER WITH ENGINEERING OR BACHELOR`S DEGREE"
"MALE","1948","Pomorskie","27","1","VOCATIONAL"
"MALE","1994","Pomorskie","25","5","GRAMMAR"
"MALE","1930","Pomorskie","15","1","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1969","Pomorskie","22","2","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1946","Pomorskie","2","8","VOCATIONAL"
"MALE","1951","Pomorskie","23","6","HIGHER WITH WITH AT LEAST DOCTOR`S DEGREE"
"FEMALE","1971","Pomorskie","20","2","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"FEMALE","1952","Pomorskie","31","10","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1949","Pomorskie","3","4","VOCATIONAL"
"FEMALE","1953","Pomorskie","8","11","PRIMARY COMPLETED"
"MALE","1968","Pomorskie","25","6","SECONDARY GENERAL"
"FEMALE","1981","Pomorskie","16","6","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1953","Pomorskie","31","10","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"FEMALE","1954","Pomorskie","1","1","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"FEMALE","1978","Pomorskie","17","7","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1988","Pomorskie","27","4","SECONDARY GENERAL"
"FEMALE","1989","Pomorskie","6","9","SECONDARY GENERAL"
"FEMALE","1946","Pomorskie","28","6","SECONDARY VOCATIONAL"
"MALE","1953","Pomorskie","4","1","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1947","Pomorskie","16","1","VOCATIONAL"
"MALE","1935","Pomorskie","10","9","SECONDARY VOCATIONAL"
"FEMALE","1963","Pomorskie","26","9","HIGHER WITH WITH AT LEAST DOCTOR`S DEGREE"
"MALE","1991","Slaskie","20","7","SECONDARY GENERAL"
"FEMALE","1971","Slaskie","21","2","SECONDARY VOCATIONAL"
"FEMALE","1978","Slaskie","20","8","SECONDARY VOCATIONAL"
"FEMALE","1978","Slaskie","28","3","SECONDARY VOCATIONAL"
"MALE","1976","Slaskie","25","11","SECONDARY VOCATIONAL"
"MALE","1959","Slaskie","10","9","VOCATIONAL"
"FEMALE","1957","Slaskie","12","4","VOCATIONAL"
"FEMALE","1919","Slaskie","30","9","PRIMARY COMPLETED"
"MALE","1939","Slaskie","21","11","SECONDARY VOCATIONAL"
"FEMALE","1966","Slaskie","12","10","VOCATIONAL"
"FEMALE","1979","Slaskie","20","5","SECONDARY VOCATIONAL"
"MALE","1953","Slaskie","17","1","VOCATIONAL"
"FEMALE","1973","Slaskie","18","1","VOCATIONAL"
"MALE","1941","Slaskie","8","9","VOCATIONAL"
"FEMALE","1991","Slaskie","9","8","GRAMMAR"
"FEMALE","1965","Slaskie","15","4","VOCATIONAL"
"FEMALE","1966","Slaskie","6","8","VOCATIONAL"
"FEMALE","1949","Slaskie","10","7","VOCATIONAL"
"MALE","1948","Slaskie","20","11","PRIMARY COMPLETED"
"MALE","1967","Slaskie","21","10","VOCATIONAL"
"MALE","1991","Slaskie","6","4","GRAMMAR"
"FEMALE","1985","Slaskie","26","12","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1957","Slaskie","16","7","VOCATIONAL"
"FEMALE","1959","Slaskie","20","12","SECONDARY VOCATIONAL"
"MALE","1958","Slaskie","13","5","VOCATIONAL"
"FEMALE","1958","Slaskie","14","1","SECONDARY VOCATIONAL"
"MALE","1971","Slaskie","8","9","VOCATIONAL"
"MALE","1950","Slaskie","9","9","VOCATIONAL"
"MALE","1969","Slaskie","21","4","VOCATIONAL"
"FEMALE","1990","Slaskie","17","11","SECONDARY GENERAL"
"FEMALE","1947","Slaskie","1","7","VOCATIONAL"
"MALE","1993","Slaskie","13","10","GRAMMAR"
"MALE","1935","Slaskie","14","1","SECONDARY VOCATIONAL"
"FEMALE","1980","Slaskie","7","12","SECONDARY GENERAL"
"MALE","1941","Slaskie","13","3","PRIMARY COMPLETED"
"MALE","1974","Slaskie","4","3","SECONDARY VOCATIONAL"
"FEMALE","1964","Slaskie","16","3","VOCATIONAL"
"FEMALE","1983","Slaskie","4","1","PRIMARY COMPLETED"
"MALE","1987","Slaskie","2","4","SECONDARY VOCATIONAL"
"FEMALE","1933","Slaskie","30","1","PRIMARY COMPLETED"
"MALE","1957","Slaskie","4","10","PRIMARY COMPLETED"
"FEMALE","1932","Slaskie","23","3","NO EDUCATION/PRIMARY NOT COMPLETED"
"MALE","1935","Slaskie","2","8","VOCATIONAL"
"FEMALE","1947","Slaskie","15","5","VOCATIONAL"
"MALE","1948","Slaskie","22","2","PRIMARY COMPLETED"
"FEMALE","1964","Slaskie","4","12","VOCATIONAL"
"MALE","1971","Slaskie","12","7","VOCATIONAL"
"FEMALE","1948","Slaskie","2","1","VOCATIONAL"
"FEMALE","1946","Slaskie","1","11","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"FEMALE","1943","Slaskie","30","9","SECONDARY GENERAL"
"MALE","1943","Slaskie","29","4","VOCATIONAL"
"MALE","1949","Slaskie","16","7","SECONDARY VOCATIONAL"
"FEMALE","1950","Slaskie","14","8","PRIMARY COMPLETED"
"MALE","1961","Slaskie","2","4","VOCATIONAL"
"MALE","1989","Slaskie","5","7","SECONDARY VOCATIONAL"
"MALE","1969","Slaskie","28","2","SECONDARY GENERAL"
"FEMALE","1994","Slaskie","24","9","GRAMMAR"
"MALE","1944","Slaskie","13","2","VOCATIONAL"
"MALE","1946","Slaskie","12","4","SECONDARY VOCATIONAL"
"FEMALE","1965","Slaskie","29","9","VOCATIONAL"
"MALE","1958","Slaskie","24","8","VOCATIONAL"
"FEMALE","1957","Slaskie","10","1","VOCATIONAL"
"MALE","1959","Slaskie","10","3","VOCATIONAL"
"FEMALE","1983","Slaskie","18","2","POST-SECONDARY"
"MALE","1927","Slaskie","2","2","PRIMARY COMPLETED"
"FEMALE","1990","Slaskie","1","1","SECONDARY GENERAL"
"FEMALE","1966","Slaskie","11","2","SECONDARY VOCATIONAL"
"FEMALE","1967","Slaskie","16","9","PRIMARY COMPLETED"
"FEMALE","1991","Slaskie","4","1","SECONDARY GENERAL"
"FEMALE","1937","Slaskie","20","11","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1970","Slaskie","17","8","VOCATIONAL"
"FEMALE","1952","Slaskie","26","11","PRIMARY COMPLETED"
"MALE","1982","Slaskie","24","4","HIGHER WITH ENGINEERING OR BACHELOR`S DEGREE"
"MALE","1964","Slaskie","14","10","VOCATIONAL"
"FEMALE","1989","Slaskie","10","8","SECONDARY GENERAL"
"FEMALE","1993","Slaskie","22","5","PRIMARY COMPLETED"
"FEMALE","1994","Slaskie","6","2","GRAMMAR"
"MALE","1983","Slaskie","25","1","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"FEMALE","1959","Slaskie","15","3","SECONDARY GENERAL"
"FEMALE","1993","Slaskie","13","5","GRAMMAR"
"FEMALE","1986","Slaskie","10","7","VOCATIONAL"
"FEMALE","1969","Slaskie","31","3","VOCATIONAL"
"FEMALE","1944","Slaskie","19","5","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"FEMALE","1950","Slaskie","23","8","SECONDARY VOCATIONAL"
"MALE","1983","Slaskie","2","1","SECONDARY VOCATIONAL"
"MALE","1978","Slaskie","2","6","SECONDARY VOCATIONAL"
"MALE","1932","Slaskie","31","1","VOCATIONAL"
"MALE","1941","Slaskie","25","10","VOCATIONAL"
"FEMALE","1931","Slaskie","8","1","PRIMARY COMPLETED"
"MALE","1969","Slaskie","6","1","VOCATIONAL"
"MALE","1982","Slaskie","29","7","SECONDARY VOCATIONAL"
"MALE","1979","Slaskie","23","7","VOCATIONAL"
"MALE","1985","Slaskie","8","9","VOCATIONAL"
"MALE","1992","Slaskie","3","3","GRAMMAR"
"MALE","1944","Slaskie","12","5","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"FEMALE","1945","Slaskie","20","3","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1965","Slaskie","5","7","SECONDARY VOCATIONAL"
"FEMALE","1960","Slaskie","12","4","SECONDARY VOCATIONAL"
"MALE","1968","Slaskie","4","2","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1956","Slaskie","13","1","SECONDARY VOCATIONAL"
"MALE","1972","Slaskie","10","9","VOCATIONAL"
"MALE","1929","Slaskie","22","1","SECONDARY GENERAL"
"MALE","1974","Slaskie","4","9","POST-SECONDARY"
"MALE","1993","Slaskie","5","8","GRAMMAR"
"FEMALE","1947","Slaskie","27","9","VOCATIONAL"
"MALE","1983","Slaskie","18","1","VOCATIONAL"
"FEMALE","1956","Slaskie","4","10","VOCATIONAL"
"FEMALE","1943","Slaskie","5","10","VOCATIONAL"
"MALE","1953","Slaskie","18","1","PRIMARY COMPLETED"
"FEMALE","1954","Slaskie","31","8","VOCATIONAL"
"MALE","1988","Slaskie","28","3","GRAMMAR"
"FEMALE","1931","Slaskie","1","11","NO EDUCATION/PRIMARY NOT COMPLETED"
"MALE","1986","Slaskie","6","4","VOCATIONAL"
"FEMALE","1940","Slaskie","3","3","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1932","Slaskie","29","3","HIGHER WITH ENGINEERING OR BACHELOR`S DEGREE"
"FEMALE","1955","Slaskie","8","7","SECONDARY VOCATIONAL"
"MALE","1945","Slaskie","22","1","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"FEMALE","1949","Slaskie","9","1","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1952","Slaskie","5","1","SECONDARY GENERAL"
"FEMALE","1952","Slaskie","19","1","PRIMARY COMPLETED"
"FEMALE","1952","Slaskie","18","3","VOCATIONAL"
"FEMALE","1947","Slaskie","18","2","SECONDARY VOCATIONAL"
"MALE","1940","Slaskie","27","5","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1941","Slaskie","19","12","PRIMARY COMPLETED"
"FEMALE","1977","Slaskie","25","6","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1966","Slaskie","27","2","VOCATIONAL"
"FEMALE","1948","Slaskie","9","3","SECONDARY GENERAL"
"FEMALE","1966","Slaskie","30","4","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"FEMALE","1993","Slaskie","3","12","GRAMMAR"
"MALE","1946","Slaskie","28","7","PRIMARY COMPLETED"
"MALE","1942","Slaskie","28","7","SECONDARY VOCATIONAL"
"FEMALE","1953","Slaskie","13","9","SECONDARY VOCATIONAL"
"FEMALE","1951","Slaskie","8","7","SECONDARY VOCATIONAL"
"MALE","1966","Slaskie","8","9","SECONDARY VOCATIONAL"
"FEMALE","1920","Slaskie","26","1","NO EDUCATION/PRIMARY NOT COMPLETED"
"FEMALE","1954","Slaskie","18","11","VOCATIONAL"
"MALE","1969","Slaskie","27","9","SECONDARY VOCATIONAL"
"FEMALE","1967","Slaskie","8","6","SECONDARY GENERAL"
"MALE","1971","Slaskie","21","6","HIGHER WITH ENGINEERING OR BACHELOR`S DEGREE"
"MALE","1983","Slaskie","25","11","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1946","Slaskie","23","3","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1956","Slaskie","14","10","VOCATIONAL"
"MALE","1960","Slaskie","7","4","SECONDARY VOCATIONAL"
"MALE","1950","Slaskie","9","3","PRIMARY COMPLETED"
"FEMALE","1984","Slaskie","28","9","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1949","Slaskie","7","9","HIGHER WITH ENGINEERING OR BACHELOR`S DEGREE"
"FEMALE","1943","Slaskie","12","10","SECONDARY GENERAL"
"MALE","1966","Slaskie","3","1","HIGHER WITH ENGINEERING OR BACHELOR`S DEGREE"
"MALE","1949","Slaskie","18","1","VOCATIONAL"
"FEMALE","1984","Slaskie","25","4","SECONDARY VOCATIONAL"
"MALE","1967","Slaskie","30","10","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1988","Slaskie","14","4","SECONDARY GENERAL"
"FEMALE","1948","Slaskie","6","11","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1941","Slaskie","17","11","VOCATIONAL"
"FEMALE","1948","Slaskie","21","4","VOCATIONAL"
"FEMALE","1960","Slaskie","16","7","HIGHER WITH ENGINEERING OR BACHELOR`S DEGREE"
"FEMALE","1946","Slaskie","29","1","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"FEMALE","1946","Slaskie","28","11","VOCATIONAL"
"FEMALE","1956","Slaskie","23","1","POST-SECONDARY"
"FEMALE","1964","Slaskie","17","1","VOCATIONAL"
"MALE","1954","Slaskie","25","6","VOCATIONAL"
"FEMALE","1991","Slaskie","24","3","GRAMMAR"
"MALE","1953","Slaskie","26","9","VOCATIONAL"
"FEMALE","1963","Slaskie","1","3","SECONDARY VOCATIONAL"
"FEMALE","1987","Slaskie","10","12","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1976","Slaskie","4","4","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"FEMALE","1984","Slaskie","24","1","SECONDARY VOCATIONAL"
"MALE","1960","Slaskie","23","3","VOCATIONAL"
"FEMALE","1951","Slaskie","28","3","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"FEMALE","1964","Slaskie","14","10","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1942","Slaskie","12","1","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"FEMALE","1964","Slaskie","28","5","SECONDARY GENERAL"
"FEMALE","1950","Slaskie","25","3","VOCATIONAL"
"FEMALE","1936","Slaskie","10","10","SECONDARY VOCATIONAL"
"MALE","1959","Slaskie","9","2","VOCATIONAL"
"FEMALE","1973","Slaskie","24","2","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"FEMALE","1954","Slaskie","17","9","SECONDARY VOCATIONAL"
"FEMALE","1969","Slaskie","23","5","VOCATIONAL"
"FEMALE","1987","Slaskie","13","1","SECONDARY VOCATIONAL"
"FEMALE","1961","Slaskie","3","6","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1957","Slaskie","4","1","SECONDARY VOCATIONAL"
"MALE","1968","Slaskie","17","2","PRIMARY COMPLETED"
"MALE","1981","Slaskie","26","10","POST-SECONDARY"
"FEMALE","1987","Slaskie","21","10","SECONDARY GENERAL"
"FEMALE","1935","Slaskie","9","6","SECONDARY VOCATIONAL"
"FEMALE","1964","Slaskie","25","9","VOCATIONAL"
"FEMALE","1956","Slaskie","13","9","PRIMARY COMPLETED"
"MALE","1942","Slaskie","19","6","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"FEMALE","1954","Slaskie","21","2","PRIMARY COMPLETED"
"FEMALE","1951","Slaskie","24","1","SECONDARY GENERAL"
"MALE","1930","Slaskie","1","2","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"FEMALE","1971","Slaskie","28","10","SECONDARY GENERAL"
"MALE","1982","Slaskie","3","11","POST-SECONDARY"
"MALE","1960","Slaskie","7","4","VOCATIONAL"
"MALE","1947","Slaskie","15","6","VOCATIONAL"
"FEMALE","1943","Slaskie","29","6","PRIMARY COMPLETED"
"FEMALE","1973","Slaskie","2","8","VOCATIONAL"
"FEMALE","1933","Slaskie","29","8","PRIMARY COMPLETED"
"FEMALE","1992","Slaskie","17","7","GRAMMAR"
"MALE","1966","Swietokrzyskie","10","10","SECONDARY VOCATIONAL"
"MALE","1967","Swietokrzyskie","12","11","SECONDARY VOCATIONAL"
"FEMALE","1951","Swietokrzyskie","5","1","VOCATIONAL"
"FEMALE","1966","Swietokrzyskie","20","1","VOCATIONAL"
"MALE","1950","Swietokrzyskie","16","8","VOCATIONAL"
"FEMALE","1936","Swietokrzyskie","29","5","PRIMARY COMPLETED"
"FEMALE","1971","Swietokrzyskie","26","2","VOCATIONAL"
"FEMALE","1962","Swietokrzyskie","21","9","SECONDARY VOCATIONAL"
"MALE","1968","Swietokrzyskie","6","3","SECONDARY VOCATIONAL"
"MALE","1941","Swietokrzyskie","18","9","PRIMARY COMPLETED"
"MALE","1960","Swietokrzyskie","14","3","VOCATIONAL"
"FEMALE","1975","Swietokrzyskie","13","2","VOCATIONAL"
"MALE","1954","Swietokrzyskie","17","1","PRIMARY COMPLETED"
"MALE","1948","Swietokrzyskie","10","3","HIGHER WITH ENGINEERING OR BACHELOR`S DEGREE"
"MALE","1926","Swietokrzyskie","21","2","NO EDUCATION/PRIMARY NOT COMPLETED"
"MALE","1990","Swietokrzyskie","21","4","VOCATIONAL"
"FEMALE","1989","Swietokrzyskie","15","5","SECONDARY VOCATIONAL"
"FEMALE","1989","Swietokrzyskie","28","1","SECONDARY GENERAL"
"FEMALE","1953","Swietokrzyskie","6","12","SECONDARY VOCATIONAL"
"MALE","1966","Swietokrzyskie","5","4","PRIMARY COMPLETED"
"MALE","1968","Swietokrzyskie","28","2","PRIMARY COMPLETED"
"MALE","1992","Swietokrzyskie","9","5","GRAMMAR"
"MALE","1994","Swietokrzyskie","12","9","GRAMMAR"
"FEMALE","1985","Swietokrzyskie","16","3","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"FEMALE","1993","Swietokrzyskie","18","11","GRAMMAR"
"FEMALE","1965","Swietokrzyskie","21","1","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"FEMALE","1953","Swietokrzyskie","20","6","PRIMARY COMPLETED"
"FEMALE","1941","Swietokrzyskie","21","1","VOCATIONAL"
"MALE","1960","Swietokrzyskie","3","5","VOCATIONAL"
"MALE","1987","Swietokrzyskie","5","8","SECONDARY VOCATIONAL"
"FEMALE","1921","Swietokrzyskie","10","3","PRIMARY COMPLETED"
"MALE","1957","Swietokrzyskie","28","6","VOCATIONAL"
"MALE","1984","Swietokrzyskie","18","1","VOCATIONAL"
"FEMALE","1931","Swietokrzyskie","20","1","SECONDARY VOCATIONAL"
"FEMALE","1946","Swietokrzyskie","6","3","POST-SECONDARY"
"MALE","1945","Swietokrzyskie","3","3","PRIMARY COMPLETED"
"FEMALE","1938","Swietokrzyskie","25","5","PRIMARY COMPLETED"
"MALE","1968","Swietokrzyskie","13","4","PRIMARY COMPLETED"
"MALE","1970","Swietokrzyskie","4","2","SECONDARY VOCATIONAL"
"MALE","1965","Swietokrzyskie","31","3","SECONDARY VOCATIONAL"
"MALE","1955","Swietokrzyskie","19","6","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1947","Swietokrzyskie","31","3","PRIMARY COMPLETED"
"FEMALE","1949","Swietokrzyskie","25","10","PRIMARY COMPLETED"
"FEMALE","1977","Swietokrzyskie","28","3","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"FEMALE","1976","Swietokrzyskie","18","1","VOCATIONAL"
"MALE","1958","Swietokrzyskie","18","6","PRIMARY COMPLETED"
"FEMALE","1963","Swietokrzyskie","3","4","VOCATIONAL"
"MALE","1948","Swietokrzyskie","26","2","VOCATIONAL"
"FEMALE","1989","Swietokrzyskie","17","4","SECONDARY VOCATIONAL"
"FEMALE","1988","Swietokrzyskie","5","3","HIGHER WITH ENGINEERING OR BACHELOR`S DEGREE"
"FEMALE","1941","Swietokrzyskie","14","8","PRIMARY COMPLETED"
"MALE","1948","Swietokrzyskie","3","7","VOCATIONAL"
"FEMALE","1960","Swietokrzyskie","16","3","VOCATIONAL"
"MALE","1994","Swietokrzyskie","27","2","GRAMMAR"
"MALE","1949","Swietokrzyskie","10","1","SECONDARY VOCATIONAL"
"MALE","1938","Swietokrzyskie","14","6","HIGHER WITH ENGINEERING OR BACHELOR`S DEGREE"
"FEMALE","1937","Swietokrzyskie","1","3","POST-SECONDARY"
"MALE","1965","Swietokrzyskie","25","1","PRIMARY COMPLETED"
"FEMALE","1957","Swietokrzyskie","1","4","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1953","Swietokrzyskie","27","10","SECONDARY VOCATIONAL"
"FEMALE","1960","Swietokrzyskie","15","6","SECONDARY VOCATIONAL"
"MALE","1994","Swietokrzyskie","6","7","SECONDARY VOCATIONAL"
"MALE","1945","Swietokrzyskie","29","4","VOCATIONAL"
"MALE","1942","Swietokrzyskie","18","11","PRIMARY COMPLETED"
"MALE","1976","Swietokrzyskie","19","5","VOCATIONAL"
"MALE","1984","Swietokrzyskie","3","8","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1946","Swietokrzyskie","9","3","VOCATIONAL"
"FEMALE","1953","Swietokrzyskie","23","6","VOCATIONAL"
"FEMALE","1981","Swietokrzyskie","7","10","SECONDARY VOCATIONAL"
"FEMALE","1925","Swietokrzyskie","14","7","PRIMARY COMPLETED"
"FEMALE","1946","Swietokrzyskie","21","4","PRIMARY COMPLETED"
"FEMALE","1991","Swietokrzyskie","27","12","GRAMMAR"
"MALE","1927","Swietokrzyskie","14","9","SECONDARY VOCATIONAL"
"FEMALE","1972","Swietokrzyskie","8","8","SECONDARY GENERAL"
"FEMALE","1978","Swietokrzyskie","14","7","POST-SECONDARY"
"MALE","1954","Swietokrzyskie","3","9","PRIMARY COMPLETED"
"MALE","1966","Swietokrzyskie","20","12","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"FEMALE","1949","Swietokrzyskie","30","10","SECONDARY GENERAL"
"FEMALE","1956","Swietokrzyskie","14","9","PRIMARY COMPLETED"
"FEMALE","1961","Swietokrzyskie","13","12","SECONDARY GENERAL"
"FEMALE","1969","Swietokrzyskie","20","5","VOCATIONAL"
"FEMALE","1930","Swietokrzyskie","13","12","POST-SECONDARY"
"FEMALE","1966","Swietokrzyskie","11","8","HIGHER WITH WITH AT LEAST DOCTOR`S DEGREE"
"MALE","1992","Swietokrzyskie","2","10","GRAMMAR"
"FEMALE","1971","Warminsko-mazurskie","15","3","SECONDARY VOCATIONAL"
"MALE","1953","Warminsko-mazurskie","2","10","VOCATIONAL"
"FEMALE","1991","Warminsko-mazurskie","10","5","GRAMMAR"
"FEMALE","1989","Warminsko-mazurskie","24","8","SECONDARY GENERAL"
"FEMALE","1931","Warminsko-mazurskie","4","8","NO EDUCATION/PRIMARY NOT COMPLETED"
"FEMALE","1949","Warminsko-mazurskie","22","5","PRIMARY COMPLETED"
"FEMALE","1967","Warminsko-mazurskie","6","3","SECONDARY VOCATIONAL"
"FEMALE","1948","Warminsko-mazurskie","25","3","PRIMARY COMPLETED"
"FEMALE","1956","Warminsko-mazurskie","18","2","PRIMARY COMPLETED"
"FEMALE","1980","Warminsko-mazurskie","24","5","VOCATIONAL"
"FEMALE","1955","Warminsko-mazurskie","22","1","PRIMARY COMPLETED"
"FEMALE","1971","Warminsko-mazurskie","25","5","SECONDARY VOCATIONAL"
"MALE","1969","Warminsko-mazurskie","31","8","VOCATIONAL"
"MALE","1995","Warminsko-mazurskie","26","2","PRIMARY COMPLETED"
"MALE","1972","Warminsko-mazurskie","30","6","VOCATIONAL"
